                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2554,                 1.1504,                 1.4365,                0.74116,                 0.7279,                0.78869,                0.52518,                 1.1534,                 1.0457,                 1.3432,               0.004753,               0.004753,               0.004753
                     56,                 1.2581,                 1.1552,                 1.4377,                0.72916,                0.73004,                0.79459,                0.53685,                 1.1357,                 1.0266,                 1.3316,               0.004654,               0.004654,               0.004654
                     57,                 1.2442,                 1.1352,                 1.4293,                0.74651,                0.71308,                0.78539,                0.53303,                 1.1442,                 1.0239,                 1.3378,               0.004555,               0.004555,               0.004555
                     58,                 1.2452,                   1.13,                 1.4271,                0.74611,                0.72353,                0.79484,                0.53768,                 1.1392,                 1.0149,                 1.3419,               0.004456,               0.004456,               0.004456
                     59,                 1.2346,                 1.1184,                 1.4202,                0.73585,                0.72421,                0.79557,                0.53664,                 1.1455,                 1.0097,                 1.3393,               0.004357,               0.004357,               0.004357
                     60,                  1.237,                 1.1127,                 1.4177,                0.72977,                0.74705,                0.80208,                0.54825,                 1.1244,                 1.0017,                 1.3233,               0.004258,               0.004258,               0.004258
                     61,                  1.223,                 1.1049,                   1.41,                 0.7519,                0.73939,                0.81156,                 0.5537,                 1.1172,                0.98483,                 1.3243,               0.004159,               0.004159,               0.004159
                     62,                 1.2188,                 1.0883,                 1.4051,                0.76768,                0.73637,                  0.817,                0.56008,                 1.1124,                0.97513,                 1.3113,                0.00406,                0.00406,                0.00406
                     63,                 1.2184,                 1.0917,                  1.405,                0.76072,                0.72476,                0.80578,                0.54953,                 1.1201,                 0.9882,                 1.3224,               0.003961,               0.003961,               0.003961
                     64,                 1.2066,                 1.0817,                 1.4049,                0.74802,                0.74021,                0.80753,                0.55531,                 1.1055,                0.96965,                 1.3101,               0.003862,               0.003862,               0.003862
                     65,                  1.209,                 1.0688,                  1.396,                0.76054,                 0.7451,                0.81669,                0.56341,                 1.1013,                0.95974,                 1.3065,               0.003763,               0.003763,               0.003763
                     66,                 1.1952,                 1.0557,                 1.3832,                0.77688,                0.71997,                0.81441,                0.56593,                 1.0914,                0.95379,                 1.2925,               0.003664,               0.003664,               0.003664
                     67,                 1.1973,                 1.0657,                 1.3857,                0.75752,                0.75579,                0.82389,                0.56933,                 1.0931,                0.95245,                 1.2976,               0.003565,               0.003565,               0.003565
