                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0348,                0.84202,                 1.3328,                0.84439,                0.81344,                0.88894,                0.65755,                 0.9801,                0.78054,                  1.317,               0.001486,               0.001486,               0.001486
                     89,                 1.0342,                0.83754,                  1.337,                 0.8578,                0.80903,                0.88757,                0.65411,                0.98075,                0.79135,                 1.3174,               0.001387,               0.001387,               0.001387
                     90,                 1.0169,                0.82314,                 1.3237,                0.84671,                0.81276,                0.88804,                0.65678,                0.97866,                0.78197,                 1.3163,               0.001288,               0.001288,               0.001288
                     91,                0.93634,                0.70923,                  1.271,                0.83823,                 0.8284,                0.89125,                0.65876,                0.97235,                0.76616,                 1.3168,               0.001189,               0.001189,               0.001189
                     92,                 0.9047,                0.66527,                 1.2456,                0.85992,                0.81405,                0.89564,                0.66531,                0.96578,                0.75227,                 1.3119,                0.00109,                0.00109,                0.00109
                     93,                0.89326,                0.65052,                 1.2366,                 0.8758,                0.81779,                0.89814,                0.66744,                0.96077,                0.74817,                  1.308,               0.000991,               0.000991,               0.000991
                     94,                0.87659,                0.63744,                 1.2256,                0.86679,                0.82552,                0.89907,                0.67381,                0.94701,                 0.7421,                 1.2993,               0.000892,               0.000892,               0.000892
                     95,                0.87556,                0.63793,                 1.2284,                0.87665,                0.82322,                0.90018,                0.67734,                0.94388,                0.73956,                  1.296,               0.000793,               0.000793,               0.000793
                     96,                0.86775,                0.63185,                 1.2207,                0.88314,                0.81899,                0.90201,                0.67723,                0.94339,                0.73905,                 1.2953,               0.000694,               0.000694,               0.000694
                     97,                0.86583,                0.62407,                 1.2214,                 0.8765,                0.82559,                0.90405,                0.68071,                 0.9411,                0.73407,                 1.2937,               0.000595,               0.000595,               0.000595
                     98,                0.85615,                0.61016,                  1.212,                0.87256,                0.83053,                0.90461,                0.68202,                0.93623,                0.72934,                 1.2917,               0.000496,               0.000496,               0.000496
                     99,                0.84952,                0.60475,                 1.2027,                0.88462,                0.82001,                0.90455,                0.68317,                0.93331,                0.72777,                 1.2928,               0.000397,               0.000397,               0.000397
                    100,                0.84563,                0.60396,                 1.2041,                0.89042,                 0.8142,                0.90413,                 0.6842,                0.93107,                0.72752,                 1.2911,               0.000298,               0.000298,               0.000298
