                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2744,                 1.1733,                 1.4579,                0.73199,                0.71594,                0.78332,                0.51582,                  1.179,                 1.0687,                 1.3762,               0.005149,               0.005149,               0.005149
                     52,                 1.2663,                 1.1607,                 1.4573,                0.70691,                0.72272,                0.77334,                0.50301,                 1.1964,                  1.093,                 1.3961,                0.00505,                0.00505,                0.00505
                     53,                 1.2663,                 1.1582,                 1.4535,                0.72613,                0.71906,                0.78708,                0.51863,                 1.1649,                 1.0648,                 1.3657,               0.004951,               0.004951,               0.004951
                     54,                 1.2611,                  1.151,                  1.453,                0.77082,                0.69588,                0.80103,                 0.5345,                 1.1529,                 1.0272,                 1.3546,               0.004852,               0.004852,               0.004852
                     55,                 1.2585,                 1.1473,                 1.4529,                0.73041,                0.74102,                0.80374,                0.53575,                 1.1504,                 1.0295,                 1.3564,               0.004753,               0.004753,               0.004753
                     56,                 1.2588,                 1.1469,                 1.4496,                0.74611,                0.72172,                0.79682,                0.53019,                 1.1427,                 1.0338,                 1.3498,               0.004654,               0.004654,               0.004654
                     57,                 1.2455,                 1.1313,                 1.4415,                0.77617,                0.72039,                0.80807,                0.54738,                 1.1352,                 1.0009,                 1.3401,               0.004555,               0.004555,               0.004555
                     58,                 1.2448,                 1.1283,                 1.4378,                0.74207,                0.73496,                0.80304,                0.53895,                 1.1424,                 1.0063,                 1.3501,               0.004456,               0.004456,               0.004456
                     59,                 1.2368,                 1.1176,                 1.4322,                0.73344,                0.74946,                0.81069,                0.54641,                 1.1297,                0.99209,                 1.3369,               0.004357,               0.004357,               0.004357
                     60,                 1.2404,                 1.1118,                 1.4327,                0.74347,                0.74909,                0.81678,                0.55229,                 1.1192,                 0.9859,                 1.3356,               0.004258,               0.004258,               0.004258
                     61,                 1.2243,                 1.0966,                 1.4238,                 0.7583,                0.74339,                0.81272,                0.54759,                  1.123,                0.99813,                 1.3394,               0.004159,               0.004159,               0.004159
                     62,                 1.2189,                 1.0857,                 1.4178,                0.76618,                0.74217,                0.82155,                0.55781,                 1.1179,                0.96568,                 1.3243,                0.00406,                0.00406,                0.00406
                     63,                 1.2138,                 1.0869,                 1.4135,                0.77537,                0.72999,                0.81695,                0.55898,                  1.106,                0.97679,                 1.3232,               0.003961,               0.003961,               0.003961
                     64,                 1.2073,                 1.0784,                 1.4157,                0.76717,                0.74646,                0.81955,                0.55623,                 1.1187,                0.96979,                 1.3289,               0.003862,               0.003862,               0.003862
                     65,                 1.2073,                 1.0604,                 1.4061,                0.76966,                0.74859,                0.82987,                 0.5682,                  1.106,                0.94466,                 1.3239,               0.003763,               0.003763,               0.003763
                     66,                 1.1945,                 1.0532,                 1.3933,                0.77179,                0.73236,                0.82496,                0.56307,                  1.105,                 0.9529,                 1.3188,               0.003664,               0.003664,               0.003664
                     67,                 1.1942,                 1.0566,                 1.3987,                0.76541,                0.75315,                0.83297,                0.57231,                 1.1018,                0.95022,                 1.3153,               0.003565,               0.003565,               0.003565
                     68,                 1.1975,                 1.0552,                 1.3951,                0.79915,                0.72746,                0.82981,                0.57263,                 1.0944,                0.94265,                 1.3086,               0.003466,               0.003466,               0.003466
                     69,                 1.1845,                 1.0293,                 1.3844,                0.76934,                  0.762,                0.83565,                0.58137,                 1.0824,                0.91797,                 1.3013,               0.003367,               0.003367,               0.003367
                     70,                 1.1838,                 1.0364,                 1.3823,                 0.7919,                0.76854,                0.84292,                0.57978,                 1.0907,                 0.9197,                 1.3068,               0.003268,               0.003268,               0.003268
                     71,                 1.1757,                 1.0284,                 1.3839,                0.77163,                0.77989,                0.84029,                0.58364,                 1.0786,                0.91549,                 1.2944,               0.003169,               0.003169,               0.003169
                     72,                 1.1742,                 1.0181,                 1.3781,                0.77316,                0.78263,                0.84365,                0.58739,                 1.0778,                  0.903,                    1.3,                0.00307,                0.00307,                0.00307
                     73,                 1.1668,                 1.0087,                 1.3703,                0.77823,                0.78853,                0.84771,                0.59201,                 1.0695,                0.88965,                 1.2943,               0.002971,               0.002971,               0.002971
                     74,                 1.1558,                0.99433,                 1.3644,                 0.8032,                0.76152,                0.84695,                0.58716,                 1.0691,                0.89818,                 1.2908,               0.002872,               0.002872,               0.002872
                     75,                 1.1512,                 0.9934,                 1.3598,                0.79655,                0.77275,                0.84974,                0.59227,                 1.0691,                0.88846,                 1.2913,               0.002773,               0.002773,               0.002773
                     76,                 1.1536,                0.99675,                 1.3615,                0.79308,                0.77416,                0.84986,                0.59404,                 1.0614,                 0.8915,                  1.285,               0.002674,               0.002674,               0.002674
                     77,                 1.1443,                0.98118,                 1.3602,                0.78239,                0.77741,                0.84869,                0.59528,                  1.063,                0.89052,                 1.2862,               0.002575,               0.002575,               0.002575
                     78,                 1.1367,                0.97026,                 1.3549,                0.82469,                0.75415,                0.85768,                0.60543,                 1.0577,                0.86935,                 1.2816,               0.002476,               0.002476,               0.002476
                     79,                 1.1385,                0.97121,                 1.3538,                0.80831,                0.77425,                0.85868,                0.60668,                 1.0482,                0.86807,                 1.2679,               0.002377,               0.002377,               0.002377
                     80,                  1.132,                0.96268,                 1.3422,                0.78735,                 0.7934,                0.86014,                0.60885,                 1.0541,                0.86529,                 1.2762,               0.002278,               0.002278,               0.002278
                     81,                 1.1267,                0.96083,                 1.3368,                0.81641,                0.77345,                0.86071,                0.60978,                 1.0425,                0.85856,                 1.2719,               0.002179,               0.002179,               0.002179
                     82,                 1.1345,                0.96156,                 1.3454,                0.81902,                0.77504,                0.86064,                0.60917,                  1.043,                0.86245,                 1.2675,                0.00208,                0.00208,                0.00208
                     83,                 1.1153,                0.94231,                 1.3329,                 0.8212,                0.77647,                0.86582,                0.61401,                 1.0379,                0.85069,                 1.2625,               0.001981,               0.001981,               0.001981
                     84,                 1.1133,                0.94374,                 1.3294,                0.80752,                0.79237,                0.86537,                0.61352,                 1.0386,                 0.8484,                 1.2637,               0.001882,               0.001882,               0.001882
                     85,                 1.1078,                0.93332,                 1.3269,                0.84352,                0.77334,                0.86942,                0.62036,                 1.0321,                0.83402,                 1.2615,               0.001783,               0.001783,               0.001783
                     86,                 1.1044,                0.92252,                 1.3205,                0.81351,                0.79569,                0.86653,                0.61965,                 1.0308,                 0.8366,                 1.2617,               0.001684,               0.001684,               0.001684
                     87,                 1.1038,                0.92417,                 1.3202,                0.82733,                0.78905,                0.86983,                0.62154,                 1.0238,                0.83496,                 1.2526,               0.001585,               0.001585,               0.001585
                     88,                 1.0953,                0.92173,                 1.3137,                 0.8248,                0.78996,                0.87014,                0.62368,                 1.0269,                0.82997,                 1.2542,               0.001486,               0.001486,               0.001486
                     89,                 1.0991,                0.91893,                 1.3166,                0.83293,                0.77608,                0.86952,                0.62344,                 1.0225,                0.83178,                 1.2516,               0.001387,               0.001387,               0.001387
                     90,                 1.0822,                0.90333,                 1.3047,                0.84144,                 0.7774,                0.87126,                0.62498,                 1.0182,                0.82789,                 1.2487,               0.001288,               0.001288,               0.001288
                     91,                 1.0001,                0.79102,                 1.2436,                0.83691,                0.79235,                0.87701,                0.63147,                 1.0089,                0.81163,                 1.2431,               0.001189,               0.001189,               0.001189
                     92,                0.96302,                0.74203,                 1.2157,                 0.8465,                0.78738,                0.87854,                0.63571,                 1.0041,                0.80428,                 1.2417,                0.00109,                0.00109,                0.00109
                     93,                0.95595,                0.72815,                 1.2108,                0.84667,                0.79471,                0.88021,                0.63878,                  1.003,                0.79945,                 1.2406,               0.000991,               0.000991,               0.000991
                     94,                0.94586,                0.71871,                 1.2041,                  0.842,                0.79967,                0.88369,                0.64259,                0.99317,                0.79468,                 1.2341,               0.000892,               0.000892,               0.000892
                     95,                0.94027,                 0.7109,                 1.1999,                0.83528,                0.81127,                0.88498,                0.64433,                0.99347,                0.78993,                 1.2337,               0.000793,               0.000793,               0.000793
                     96,                0.93581,                0.71207,                 1.1987,                0.85358,                0.80289,                0.88644,                0.64658,                0.99386,                0.78446,                 1.2346,               0.000694,               0.000694,               0.000694
                     97,                0.92813,                0.70221,                 1.1946,                0.83669,                0.81557,                0.88559,                0.64693,                0.99179,                0.78381,                  1.232,               0.000595,               0.000595,               0.000595
                     98,                0.91853,                0.68759,                 1.1834,                 0.8394,                0.81931,                0.88974,                0.64976,                0.98786,                0.78028,                 1.2281,               0.000496,               0.000496,               0.000496
                     99,                0.91181,                 0.6804,                 1.1779,                0.83847,                0.82564,                0.88948,                0.65008,                0.98731,                0.77824,                 1.2284,               0.000397,               0.000397,               0.000397
                    100,                 0.9126,                0.68057,                 1.1811,                0.83554,                0.82347,                0.88891,                  0.651,                0.98602,                0.77552,                 1.2282,               0.000298,               0.000298,               0.000298
